pot,rep,isolate,species,isolate_id
1,1,18PR015,Phytophthora sojae,29
2,1,Control Agar,Control Agar,Control Agar
3,1,18PR004,Phytophthora sansomeana,18
4,1,18PR012,Phytophthora sojae,26
5,1,17PR009A.2,Phytophthora sojae,10
6,1,17PR006L.1,Phytophthora sansomeana,8
7,1,16PR024C.2,Phytophthora sansomeana,5
8,2,18PR015,Phytophthora sojae,29
9,1,18PR013,Phytophthora sojae,27
10,1,18PR016,Phytophthora sojae,30
11,1,17PR013G.3,Phytophthora sojae,11
12,1,18PR005,Phytophthora sansomeana,19
13,1,18PR007,Phytophthora sojae,21
14,1,18PR001,Phytophthora sojae,16
15,1,18PR006,Phytophthora sojae,20
16,1,16PR027C.1,Phytophthora sojae,6
17,1,Control None,Control None,Control None
18,1,16PR018B.1,Phytophthora sansomeana,3
19,3,18PR015,Phytophthora sojae,29
20,1,18PR008,Phytophthora sojae,22
21,1,16PR009.1,Phytophthora sojae,1
22,1,18PR014,Phytophthora sojae,28
23,2,18PR014,Phytophthora sojae,28
24,1,16PR024C.1,Phytophthora sansomeana,4
25,2,18PR012,Phytophthora sojae,26
26,1,16PR027C.2,Phytophthora sojae,7
27,1,18PR010,Phytophthora sojae,24
28,1,17PR018J.3,Phytophthora sojae,15
29,1,18PR009,Phytophthora sojae,23
30,1,16PR009.2,Phytophthora sojae,2
31,2,18PR016,Phytophthora sojae,30
32,2,17PR009A.2,Phytophthora sojae,10
33,2,18PR001,Phytophthora sojae,16
34,2,16PR018B.1,Phytophthora sansomeana,3
35,2,18PR005,Phytophthora sansomeana,19
36,2,18PR009,Phytophthora sojae,23
37,2,16PR024C.2,Phytophthora sansomeana,5
38,2,18PR010,Phytophthora sojae,24
39,1,18PR003,Phytophthora sansomeana,17
40,2,16PR009.1,Phytophthora sojae,1
41,2,18PR006,Phytophthora sojae,20
42,1,17PR018F.2,Phytophthora sojae,13
43,2,17PR006L.1,Phytophthora sansomeana,8
44,1,17PR018H.1,Phytophthora sojae,14
45,2,16PR027C.1,Phytophthora sojae,6
46,2,17PR013G.3,Phytophthora sojae,11
47,2,17PR018J.3,Phytophthora sojae,15
48,2,17PR018F.2,Phytophthora sojae,13
49,2,18PR003,Phytophthora sansomeana,17
50,2,16PR024C.1,Phytophthora sansomeana,4
51,2,Control None,Control None,Control None
52,1,17PR018F.1,Phytophthora sojae,12
53,3,16PR027C.1,Phytophthora sojae,6
54,1,18PR011,Phytophthora sojae,25
55,2,18PR004,Phytophthora sansomeana,18
56,2,18PR013,Phytophthora sojae,27
57,3,17PR018F.2,Phytophthora sojae,13
58,3,16PR009.1,Phytophthora sojae,1
59,1,18PR017,Phytophthora sojae,31
60,2,17PR018H.1,Phytophthora sojae,14
61,3,18PR014,Phytophthora sojae,28
62,3,18PR013,Phytophthora sojae,27
63,3,18PR010,Phytophthora sojae,24
64,2,16PR027C.2,Phytophthora sojae,7
65,3,18PR001,Phytophthora sojae,16
66,2,16PR009.2,Phytophthora sojae,2
67,2,Control Agar,Control Agar,Control Agar
68,3,18PR012,Phytophthora sojae,26
69,2,18PR008,Phytophthora sojae,22
70,3,16PR024C.1,Phytophthora sansomeana,4
71,2,18PR017,Phytophthora sojae,31
72,3,18PR016,Phytophthora sojae,30
73,2,17PR018F.1,Phytophthora sojae,12
74,3,Control Agar,Control Agar,Control Agar
75,2,18PR007,Phytophthora sojae,21
76,3,16PR018B.1,Phytophthora sansomeana,3
77,3,17PR018J.3,Phytophthora sojae,15
78,2,18PR011,Phytophthora sojae,25
79,3,18PR008,Phytophthora sojae,22
80,1,17PR009A.1,Phytophthora sojae,9
81,3,18PR009,Phytophthora sojae,23
82,3,Control None,Control None,Control None
83,3,18PR017,Phytophthora sojae,31
84,3,16PR024C.2,Phytophthora sansomeana,5
85,3,18PR005,Phytophthora sansomeana,19
86,3,18PR006,Phytophthora sojae,20
87,3,18PR003,Phytophthora sansomeana,17
88,3,17PR013G.3,Phytophthora sojae,11
89,2,17PR009A.1,Phytophthora sojae,9
90,3,16PR009.2,Phytophthora sojae,2
91,3,17PR018F.1,Phytophthora sojae,12
92,3,16PR027C.2,Phytophthora sojae,7
93,3,17PR009A.1,Phytophthora sojae,9
94,3,18PR004,Phytophthora sansomeana,18
95,3,18PR007,Phytophthora sojae,21
96,3,17PR009A.2,Phytophthora sojae,10
97,3,18PR011,Phytophthora sojae,25
98,3,17PR018H.1,Phytophthora sojae,14
99,3,17PR006L.1,Phytophthora sansomeana,8
