pot,emergence,germination,pre_damping_off,damping_off.1,damping_off.2,damping_off.3,damping_off.4,damping_off.5,damping_off.6
1,6,7,0,3,4,4,4,5,6
2,6,6,0,0,0,0,0,0,0
3,6,7,1,0,0,0,0,0,2
4,5,8,2,2,2,4,4,5,6
5,6,7,1,1,1,2,3,6,6
6,6,8,0,0,1,2,4,5,6
7,7,8,0,0,0,0,0,0,0
8,5,7,0,0,0,0,0,0,0
9,5,7,2,0,3,4,4,5,5
10,8,8,1,0,1,3,3,6,6
11,7,8,0,0,0,0,0,0,0
12,7,8,0,0,0,0,0,0,0
13,5,8,0,0,0,0,0,0,1
14,7,8,0,1,1,2,3,5,6
15,4,6,0,1,4,5,5,5,5
16,7,8,1,0,0,0,0,5,5
17,7,7,0,0,3,5,6,7,7
18,6,6,0,1,3,3,4,7,7
19,5,5,1,3,4,5,5,5,6
20,6,7,0,0,1,1,1,3,5
21,6,7,1,1,2,3,5,6,6
22,4,5,0,0,0,0,0,0,1
23,5,6,0,1,2,2,5,5,5
24,7,7,0,0,0,0,0,2,2
25,5,6,0,4,5,5,7,7,7
26,6,5,0,0,0,1,4,6,6
27,7,8,1,0,0,2,2,6,7
28,7,8,0,1,1,3,3,5,6
29,8,8,0,0,0,0,0,0,0
30,7,7,0,0,0,0,0,3,4
31,6,6,0,0,1,3,3,6,6
32,6,7,0,0,0,0,0,1,2
33,8,7,0,1,2,2,3,4,6
34,6,7,1,2,2,3,3,6,7
35,6,7,0,0,0,2,3,6,7
36,7,8,1,0,3,3,4,6,7
37,5,5,0,1,1,3,2,3,4
38,4,6,1,0,0,1,1,4,4
39,6,7,0,0,0,0,0,0,0
40,6,7,1,0,0,0,0,0,0
41,8,8,1,0,2,3,5,7,8
42,6,7,1,3,4,4,4,4,5
43,8,8,0,0,0,0,2,6,6
44,5,8,1,0,0,1,2,5,5
45,6,8,1,0,0,0,0,0,0
46,6,7,0,0,0,0,0,0,0
47,4,5,0,0,0,3,3,3,3
48,5,6,1,0,2,2,3,4,6
49,6,8,0,0,0,0,0,0,0
50,7,7,0,0,0,3,5,6,7
51,7,7,0,2,3,6,7,6,7
52,8,8,0,0,2,5,7,8,8
53,6,8,0,0,0,0,0,0,0
54,7,8,0,0,0,2,3,5,6
55,7,8,0,0,0,0,0,0,0
56,5,7,1,0,0,0,0,0,1
57,5,7,1,0,0,0,0,0,0
58,6,6,0,0,0,1,3,4,6
59,6,8,1,2,3,1,3,6,6
60,6,7,0,0,0,0,0,1,1
61,6,7,0,0,0,2,2,2,4
62,6,7,0,0,1,2,2,4,6
63,8,8,0,0,1,5,6,7,7
64,7,7,0,0,3,5,7,7,7
65,6,7,0,0,0,0,0,0,0
66,7,8,1,0,0,0,0,0,0
67,4,5,0,0,0,0,0,0,0
68,6,6,0,0,0,2,5,6,6
69,5,5,0,1,2,4,5,6,6
70,6,7,0,0,0,0,0,0,0
71,7,7,0,1,1,3,4,5,6
72,5,7,0,0,1,3,4,6,6
73,7,8,0,1,2,3,4,5,6
74,4,5,0,0,0,0,0,3,4
75,11,8,0,0,0,0,0,0,1
76,5,7,0,0,0,0,0,0,0
77,8,8,0,1,1,1,1,6,6
78,6,6,0,0,0,0,0,0,0
79,7,7,0,1,1,1,1,3,3
80,5,7,0,1,2,2,3,5,7
81,7,8,0,1,1,3,4,8,8
82,6,7,0,0,0,0,0,1,1
83,6,8,0,0,0,1,1,4,4
84,6,8,0,0,2,3,4,7,7
85,6,8,0,0,0,0,0,0,0
86,5,5,0,0,0,0,0,0,0
87,6,7,0,0,0,6,7,7,7
88,6,6,0,0,0,1,1,2,3
89,5,7,1,0,0,0,4,4,4
90,6,7,0,0,0,0,0,0,0
91,6,7,0,0,0,3,6,4,6
92,4,7,1,0,0,0,1,2,2
93,6,6,0,0,1,2,3,5,5
94,8,8,0,0,0,0,0,1,2
95,7,6,0,0,0,5,6,7,7
96,5,7,1,0,0,4,4,5,6
97,6,6,0,0,3,3,3,6,6
98,6,6,0,0,0,6,6,7,7
99,5,6,0,0,1,3,3,5,5
