pot,emergence,germination,damping_off.1,damping_off.2,damping_off.3,damping_off.4,damping_off.5,damping_off.6
1,,8,0,0,4,7,7,7
2,,7,0,0,1,1,1,1
3,,7,0,0,0,0,0,0
4,,7,1,1,3,4,5,6
5,,8,0,0,1,1,0,3
6,,1,0,0,0,0,0,0
7,,7,0,0,0,1,0,1
8,,6,2,2,2,2,2,3
9,,3,0,0,1,1,3,3
10,,7,0,0,1,5,5,7
11,,8,0,0,0,0,0,0
12,,6,0,0,0,2,2,3
13,,5,0,0,0,0,0,2
14,,6,0,0,2,2,0,5
15,,5,0,0,0,1,0,3
16,,5,0,0,0,3,0,4
17,,5,0,0,1,5,0,5
18,,6,0,0,0,1,0,3
19,,7,0,0,2,4,5,7
20,,7,0,0,1,1,3,6
21,,6,1,0,1,3,0,3
22,,5,0,0,3,3,4,5
23,,7,0,0,4,2,3,5
24,,5,0,0,0,2,3,6
25,,7,0,0,0,0,0,6
26,,6,0,0,2,4,5,5
27,,7,0,0,0,0,3,5
28,,7,0,0,1,2,3,5
29,,7,0,0,0,0,0,2
30,,5,0,0,0,1,2,3
31,,6,0,0,0,0,0,1
32,,6,0,0,2,2,0,3
33,,8,0,0,2,4,5,7
34,,7,0,0,0,0,0,1
35,,6,0,0,0,0,0,5
36,,8,0,0,0,0,0,1
37,,8,0,0,0,0,0,1
38,,6,0,0,2,2,3,6
39,,8,0,0,1,2,4,5
40,,7,0,0,0,4,0,5
41,,7,0,0,0,0,4,5
42,,6,0,1,1,2,7,6
43,,7,0,0,0,2,3,3
44,,7,0,0,0,1,2,3
45,,7,0,0,2,2,3,5
46,,7,0,0,0,0,0,3
47,,7,0,2,4,4,0,5
48,,6,0,0,0,0,0,1
49,,4,0,0,0,1,2,3
50,,7,0,0,2,2,3,4
51,,6,0,0,2,2,4,6
52,,5,0,0,0,1,0,1
53,,7,0,0,1,3,0,4
54,,7,0,0,2,3,0,8
55,,5,0,0,4,3,0,4
56,,5,0,0,0,0,0,6
57,,6,0,0,3,3,4,5
58,,6,0,0,4,4,6,5
59,,8,0,0,1,1,1,3
60,,8,0,0,0,0,0,2
61,,7,0,0,0,1,0,3
62,,4,0,0,1,2,0,2
63,,7,0,0,4,5,6,4
64,,6,0,0,0,0,0,1
65,,6,0,0,0,1,0,5
66,,7,0,0,0,0,0,5
67,,6,0,0,1,1,2,5
68,,9,0,0,0,0,0,0
69,,7,0,0,0,0,0,6
70,,4,0,0,0,0,0,4
71,,5,0,2,6,7,0,7
72,,7,0,0,0,4,0,6
73,,5,0,0,3,3,3,3
74,,6,0,2,5,7,0,7
75,,8,0,0,0,0,1,4
76,,6,0,0,3,3,0,2
77,,6,0,2,6,3,0,7
78,,6,1,1,1,1,1,2
79,,6,0,0,0,0,1,3
80,,5,0,0,2,3,0,4
81,,7,0,0,2,2,2,5
82,,6,0,0,0,2,0,3
83,,3,0,0,0,0,0,2
84,,6,0,0,0,0,0,2
85,,7,0,0,3,3,0,7
86,,6,0,0,3,4,0,7
87,,5,0,0,1,1,1,3
88,,6,0,0,0,3,0,6
89,,5,0,0,1,4,0,5
90,,8,0,0,3,1,0,5
91,,6,0,0,0,4,0,0
92,,5,0,0,4,2,0,4
93,,5,0,0,2,4,0,2
94,,7,0,0,4,4,0,6
95,,6,0,0,0,0,0,0
96,,7,0,0,0,0,0,0
97,,7,0,2,6,6,0,8
98,,6,0,0,0,4,0,6
99,,5,0,0,1,3,0,6
