isolate_id,isolate,species,County collected
1,16PR009.1,Phytophthora sojae,Champaign
2,16PR009.2,Phytophthora sojae,Champaign
3,16PR018B.1,Phytophthora sansomeana,Kankakee
4,16PR024C.1,Phytophthora sansomeana,Grundy
5,16PR024C.2,Phytophthora sansomeana,Grundy
6,16PR027C.1,Phytophthora sojae,Madison
7,16PR027C.2,Phytophthora sojae,Madison
8,17PR006L.1,Phytophthora sansomeana,Macon
9,17PR009A.1,Phytophthora sojae,Morgan
10,17PR009A.2,Phytophthora sojae,Morgan
11,17PR013G.3,Phytophthora sojae,Crawford
12,17PR018F.1,Phytophthora sojae,Boone
13,17PR018F.2,Phytophthora sojae,Boone
14,17PR018H.1,Phytophthora sojae,Boone
15,17PR018J.3,Phytophthora sojae,Boone
16,18PR001,Phytophthora sojae,Vermilion
17,18PR003,Phytophthora sansomeana,Champaign
18,18PR004,Phytophthora sansomeana,Champaign
19,18PR005,Phytophthora sansomeana,Champaign
20,18PR006,Phytophthora sojae,Massac
21,18PR007,Phytophthora sojae,Massac
22,18PR008,Phytophtora sojae,Jefferson 
23,18PR009,Phytophtora sojae,Jefferson 
24,18PR010,Phytophtora sojae,Jefferson 
25,18PR011,Phytophtora sojae,Knox
26,18PR012,Phytophtora sojae,Knox
27,18PR013,Phytophtora sojae,Jefferson 
28,18PR014,Phytophtora sojae,Knox
29,18PR015,Phytophtora sojae,Knox
30,18PR016,Phytophtora sojae,Jefferson 
31,18PR017,Phytophtora sojae,Knox
