experiment,sample,length_in,area_in.2
exp 1,1,39.73,1.419
exp 1,1,3.18,0.131
exp 1,1,23.06,0.785
exp 1,1,10.81,0.35
exp 1,1,21.18,0.814
exp 1,1,10.77,0.378
exp 1,1,36.18,1.444
exp 1,1,12.9,0.629
exp 1,2,63.79,2.352
exp 1,2,50.8,1.761
exp 1,2,49.46,2.124
exp 1,2,66.32,2.539
exp 1,2,48.06,1.928
exp 1,2,66.12,2.418
exp 1,2,21.64,0.976
exp 1,2,39.4,2.054
exp 1,4,14.6,0.435
exp 1,4,15.45,0.646
exp 1,4,20.79,0.728
exp 1,4,3.21,0.16
exp 1,4,18.06,0.598
exp 1,4,12.86,0.547
exp 1,4,8.12,0.339
exp 1,5,30.71,1.159
exp 1,5,7.91,0.532
exp 1,5,24.29,1.574
exp 1,5,17.92,0.822
exp 1,5,16.19,0.643
exp 1,5,1.74,0.176
exp 1,6,65.88,1.442
exp 1,6,92.96,2.476
exp 1,6,40.38,1.359
exp 1,6,49.11,1.191
exp 1,6,31.1,0.85
exp 1,6,23.73,0.744
exp 1,6,99.71,2.245
exp 1,6,86.73,2.631
exp 1,7,78.89,3.488
exp 1,7,68.64,2.262
exp 1,7,87.04,3.486
exp 1,7,72.63,2.754
exp 1,7,20.67,0.938
exp 1,7,50.17,2.785
exp 1,7,74.26,3.179
exp 1,8,1.75,0.113
exp 1,8,1.73,0.116
exp 1,8,1.63,0.167
exp 1,8,16.61,0.693
exp 1,8,30.39,1.153
exp 1,8,26.35,1.181
exp 1,8,14.64,0.628
exp 1,8,61.8,2.397
exp 1,9,12.36,0.534
exp 1,9,4.42,0.309
exp 1,9,4.58,0.275
exp 1,9,41.97,2.98
exp 1,9,41.41,2.287
exp 1,9,59.56,2.559
exp 1,10,21.46,1.23
exp 1,10,28.49,1.553
exp 1,10,34.91,1.19
exp 1,10,5.25,0.222
exp 1,10,3.47,0.097
exp 1,10,12.84,0.421
exp 1,10,5.82,0.217
exp 1,10,4.36,0.153
exp 1,11,84.34,3.757
exp 1,11,4.56,0.221
exp 1,11,18.61,0.702
exp 1,11,12.55,0.505
exp 1,11,28.98,1.357
exp 1,11,45.71,1.933
exp 1,11,43.17,1.994
exp 1,11,71.43,2.739
exp 1,11,57.7,3.043
exp 1,12,64.35,2.485
exp 1,12,80.62,2.78
exp 1,12,74.33,3.002
exp 1,12,93.97,3.478
exp 1,12,68.83,2.772
