date,time,room_temperature,heating_target,cooling_target,outside_temperature,experiment
2019/08/14, 00:15:00,74.5,68.9,72.7,74.8,1
2019/08/14, 08:15:00,82.4,71.6,76,83.2,1
2019/08/14, 16:15:00,78.2,71.2,75.6,80.3,1
2019/08/15, 00:15:00,72,68.9,72.7,70.4,1
2019/08/15, 08:15:00,78.3,71.6,76,77.7,1
2019/08/15, 16:15:00,75.7,71.2,75.6,78.6,1
2019/08/16, 00:15:00,71.4,68.9,72.7,71.1,1
2019/08/16, 08:15:00,79,71.6,76,80.2,1
2019/08/16, 16:15:00,78.7,71.3,75.6,80.3,1
2019/08/17, 00:15:00,75.2,68.9,72.7,74.8,1
2019/08/17, 08:15:00,78.2,71.6,76,76.3,1
2019/08/17, 16:15:00,77.8,71.3,75.6,79.1,1
2019/08/18, 00:15:00,75.6,68.9,72.7,75.1,1
2019/08/18, 08:15:00,82.1,71.6,76,83.9,1
2019/08/18, 16:15:00,78.5,71.3,75.6,80,1
2019/08/19, 00:15:00,74.4,68.9,72.7,74,1
2019/08/19, 08:15:00,83.5,71.6,76,85.2,1
2019/08/19, 16:15:00,82,71.3,75.6,86.1,1
2019/08/20, 00:15:00,75.7,68.9,72.7,76.7,1
2019/08/20, 08:15:00,78.6,71.6,76,76.2,1
2019/08/20, 16:15:00,77.8,71.3,75.6,78.2,1
2019/08/21, 00:15:00,74.9,68.9,72.7,72.7,1
2019/08/21, 08:15:00,80.7,71.6,76,80.9,1
2019/08/21, 16:15:00,79,71.3,75.6,81.4,1
2019/08/22, 00:15:00,75.3,68.9,72.7,75.2,1
2019/08/22, 08:15:00,78.9,71.6,76,80,1
2019/08/22, 16:15:00,76.3,71.3,75.6,78.6,1
2019/10/25, 00:15:00,75,75,80,52.7,2
2019/10/25, 00:30:00,74.5,75,80,52.7,2
2019/10/25, 00:45:00,74.6,75,80,52.7,2
2019/10/25, 01:00:00,74.9,75,80,52.6,2
2019/10/25, 01:15:00,74.9,75,80,52.7,2
2019/10/25, 01:30:00,75,75,80,52.6,2
2019/10/25, 01:45:00,75.1,75,80,52.6,2
2019/10/25, 02:00:00,75.1,75,80,52.6,2
2019/10/25, 02:15:00,75.1,75,80,52.5,2
2019/10/25, 02:30:00,74.9,75,80,52.5,2
2019/10/25, 02:45:00,75,75,80,52.4,2
2019/10/25, 03:00:00,75.1,75,80,52.3,2
2019/10/25, 03:15:00,75.3,75,80,52.3,2
2019/10/25, 03:30:00,75.5,75,80,52.5,2
2019/10/25, 03:45:00,75.4,75,80,52.5,2
2019/10/25, 04:00:00,75.3,75,80,52.4,2
2019/10/25, 04:15:00,75.2,75,80,52.4,2
2019/10/25, 04:30:00,75.1,75,80,52.6,2
2019/10/25, 04:45:00,75.3,75,80,52.6,2
2019/10/25, 05:00:00,75.4,75,80,52.4,2
2019/10/25, 05:15:00,75.2,75,80,52.4,2
2019/10/25, 05:30:00,75.3,75,80,52.3,2
2019/10/25, 05:45:00,75.5,75,80,52.3,2
2019/10/25, 06:00:00,75.4,75,80,52.4,2
2019/10/25, 06:15:00,75.4,75,80,52.5,2
