fungicide,experiment,isolate,rep,dose,length_mm
azoxystrobin,1,1,1,0,23.92
azoxystrobin,1,1,2,0,23.65
azoxystrobin,1,1,3,0,20.68
azoxystrobin,1,1,1,0.1,9.5
azoxystrobin,1,1,2,0.1,10.68
azoxystrobin,1,1,3,0.1,9.39
azoxystrobin,1,1,1,0.5,2.74
azoxystrobin,1,1,2,0.5,3.97
azoxystrobin,1,1,3,0.5,3.6
azoxystrobin,1,1,1,1,2.41
azoxystrobin,1,1,2,1,3.06
azoxystrobin,1,1,3,1,2.97
azoxystrobin,1,1,1,10,0.54
azoxystrobin,1,1,2,10,0.81
azoxystrobin,1,1,3,10,1.26
azoxystrobin,1,2,1,0,16.93
azoxystrobin,1,2,2,0,20.91
azoxystrobin,1,2,3,0,21.43
azoxystrobin,1,2,1,0.1,12.74
azoxystrobin,1,2,2,0.1,14.96
azoxystrobin,1,2,3,0.1,13.2
azoxystrobin,1,2,1,0.5,3.8
azoxystrobin,1,2,2,0.5,8.29
azoxystrobin,1,2,3,0.5,5
azoxystrobin,1,2,1,1,3.67
azoxystrobin,1,2,2,1,3.3
azoxystrobin,1,2,3,1,4.35
azoxystrobin,1,2,1,10,0.81
azoxystrobin,1,2,2,10,0.92
azoxystrobin,1,2,3,10,1.11
azoxystrobin,1,3,1,0,25.61
azoxystrobin,1,3,2,0,25.49
azoxystrobin,1,3,3,0,22.85
azoxystrobin,1,3,1,0.1,8.69
azoxystrobin,1,3,2,0.1,9.62
azoxystrobin,1,3,3,0.1,9.66
azoxystrobin,1,3,1,0.5,2.79
azoxystrobin,1,3,2,0.5,2.85
azoxystrobin,1,3,3,0.5,3.45
azoxystrobin,1,3,1,1,2.85
azoxystrobin,1,3,2,1,2.09
azoxystrobin,1,3,3,1,3.22
azoxystrobin,1,3,1,10,0.98
azoxystrobin,1,3,2,10,1.13
azoxystrobin,1,3,3,10,0.94
azoxystrobin,1,4,1,0,17.33
azoxystrobin,1,4,2,0,12.9
azoxystrobin,1,4,3,0,15.35
azoxystrobin,1,4,1,0.1,11.24
azoxystrobin,1,4,2,0.1,10.95
azoxystrobin,1,4,3,0.1,11.43
azoxystrobin,1,4,1,0.5,5.54
azoxystrobin,1,4,2,0.5,6.02
azoxystrobin,1,4,3,0.5,4.28
azoxystrobin,1,4,1,1,3.21
azoxystrobin,1,4,2,1,3.89
azoxystrobin,1,4,3,1,5.1
azoxystrobin,1,4,1,10,0.84
azoxystrobin,1,4,2,10,1.36
azoxystrobin,1,4,3,10,2.53
azoxystrobin,1,5,1,0,14.9
azoxystrobin,1,5,2,0,15.66
azoxystrobin,1,5,3,0,16.7
azoxystrobin,1,5,1,0.1,6.83
azoxystrobin,1,5,2,0.1,6.39
azoxystrobin,1,5,3,0.1,8.92
azoxystrobin,1,5,1,0.5,2.97
azoxystrobin,1,5,2,0.5,2.74
azoxystrobin,1,5,3,0.5,3.37
azoxystrobin,1,5,1,1,10.33
azoxystrobin,1,5,2,1,2.11
azoxystrobin,1,5,3,1,1.79
azoxystrobin,1,5,1,10,2.74
azoxystrobin,1,5,2,10,2.1
azoxystrobin,1,5,3,10,1.66
azoxystrobin,1,6,1,0,17.12
azoxystrobin,1,6,2,0,16.27
azoxystrobin,1,6,3,0,15.91
azoxystrobin,1,6,1,0.1,5.17
azoxystrobin,1,6,2,0.1,7.78
azoxystrobin,1,6,3,0.1,6.21
azoxystrobin,1,6,1,0.5,2.48
azoxystrobin,1,6,2,0.5,2.51
azoxystrobin,1,6,3,0.5,1.64
azoxystrobin,1,6,1,1,1.97
azoxystrobin,1,6,2,1,0.75
azoxystrobin,1,6,3,1,1.02
azoxystrobin,1,6,1,10,0
azoxystrobin,1,6,2,10,0.35
azoxystrobin,1,6,3,10,1.5
azoxystrobin,1,7,1,0,14.82
azoxystrobin,1,7,2,0,15.12
azoxystrobin,1,7,3,0,15.06
azoxystrobin,1,7,1,0.1,8.53
azoxystrobin,1,7,2,0.1,8.24
azoxystrobin,1,7,3,0.1,7.97
azoxystrobin,1,7,1,0.5,3.3
azoxystrobin,1,7,2,0.5,3.85
azoxystrobin,1,7,3,0.5,4.83
azoxystrobin,1,7,1,1,4.17
azoxystrobin,1,7,2,1,2.66
azoxystrobin,1,7,3,1,3.68
azoxystrobin,1,7,1,10,1.42
azoxystrobin,1,7,2,10,3.6
azoxystrobin,1,7,3,10,1.8
azoxystrobin,1,8,1,0,16.51
azoxystrobin,1,8,2,0,16.76
azoxystrobin,1,8,3,0,13.98
azoxystrobin,1,8,1,0.1,10.95
azoxystrobin,1,8,2,0.1,10.27
azoxystrobin,1,8,3,0.1,8.9
azoxystrobin,1,8,1,0.5,6.26
azoxystrobin,1,8,2,0.5,3.74
azoxystrobin,1,8,3,0.5,3.51
azoxystrobin,1,8,1,1,4.03
azoxystrobin,1,8,2,1,4.79
azoxystrobin,1,8,3,1,3.4
azoxystrobin,1,8,1,10,2.7
azoxystrobin,1,8,2,10,2.36
azoxystrobin,1,8,3,10,2.66
azoxystrobin,1,9,1,0,18.32
azoxystrobin,1,9,2,0,16.33
azoxystrobin,1,9,3,0,17.56
azoxystrobin,1,9,1,0.1,7.25
azoxystrobin,1,9,2,0.1,9.52
azoxystrobin,1,9,3,0.1,9.46
azoxystrobin,1,9,1,0.5,3.12
azoxystrobin,1,9,2,0.5,3.09
azoxystrobin,1,9,3,0.5,3.49
azoxystrobin,1,9,1,1,3.49
azoxystrobin,1,9,2,1,2.49
azoxystrobin,1,9,3,1,2.56
azoxystrobin,1,9,1,10,1.51
azoxystrobin,1,9,2,10,1.17
azoxystrobin,1,9,3,10,1.04
azoxystrobin,1,10,1,0,14.34
azoxystrobin,1,10,2,0,20.14
azoxystrobin,1,10,3,0,15.39
azoxystrobin,1,10,1,0.1,4.65
azoxystrobin,1,10,2,0.1,3.16
azoxystrobin,1,10,3,0.1,7.68
azoxystrobin,1,10,1,0.5,2.2
azoxystrobin,1,10,2,0.5,2.63
azoxystrobin,1,10,3,0.5,2.64
azoxystrobin,1,10,1,1,1.38
azoxystrobin,1,10,2,1,1.45
azoxystrobin,1,10,3,1,1.87
azoxystrobin,1,10,1,10,0.4
azoxystrobin,1,10,2,10,0.52
azoxystrobin,1,10,3,10,0.66
mefenoxam,1,1,1,0,18.9
mefenoxam,1,1,2,0,22.49
mefenoxam,1,1,3,0,20.84
mefenoxam,1,1,1,0.1,0.86
mefenoxam,1,1,2,0.1,1.28
mefenoxam,1,1,3,0.1,1.33
mefenoxam,1,1,1,0.5,0.17
mefenoxam,1,1,2,0.5,0.12
mefenoxam,1,1,3,0.5,0.12
mefenoxam,1,1,1,1,0.12
mefenoxam,1,1,2,1,0.19
mefenoxam,1,1,3,1,0.09
mefenoxam,1,1,1,10,0
mefenoxam,1,1,2,10,0
mefenoxam,1,1,3,10,0
mefenoxam,1,2,1,0,17.41
mefenoxam,1,2,2,0,22.55
mefenoxam,1,2,3,0,26.45
mefenoxam,1,2,1,0.1,1.21
mefenoxam,1,2,2,0.1,1.97
mefenoxam,1,2,3,0.1,1.13
