isolate_number,isolate_id,isolate_name,county,differential,gene,dead,total
1,16PR009.1,NA,Champaign,Williams,rps,11,11
1,16PR009.1,NA,Champaign,Harlon,1a,7,12
1,16PR009.1,NA,Champaign,Harosoy 13XX,1b,13,13
1,16PR009.1,NA,Champaign,Williams 79,1c,0,12
1,16PR009.1,NA,Champaign,Williams 82,1k,0,12
1,16PR009.1,NA,Champaign,Harosoy 62XX,6,4,12
1,16PR009.1,NA,Champaign,Harosoy,7,10,13
1,16PR009.1,NA,Champaign,Williams,rps,15,15
1,16PR009.1,NA,Champaign,L76-1988,2,12,13
1,16PR009.1,NA,Champaign,L83-570,3a,5,14
1,16PR009.1,NA,Champaign,PRX-146-36,3b,12,15
1,16PR009.1,NA,Champaign,PRX-145-48,3c,10,12
1,16PR009.1,NA,Champaign,L85-2352,4,3,15
1,16PR009.1,NA,Champaign,L85-3059,5,14,15
2,16PR009.2,NA,Champaign,Williams,rps,12,12
2,16PR009.2,NA,Champaign,Harlon,1a,6,12
2,16PR009.2,NA,Champaign,Harosoy 13XX,1b,8,10
2,16PR009.2,NA,Champaign,Williams 79,1c,0,16
2,16PR009.2,NA,Champaign,Williams 82,1k,0,14
2,16PR009.2,NA,Champaign,Harosoy 62XX,6,6,10
2,16PR009.2,NA,Champaign,Harosoy,7,13,13
2,16PR009.2,NA,Champaign,Williams,rps,12,12
2,16PR009.2,NA,Champaign,L76-1988,2,10,12
2,16PR009.2,NA,Champaign,L83-570,3a,13,17
2,16PR009.2,NA,Champaign,PRX-146-36,3b,11,14
2,16PR009.2,NA,Champaign,PRX-145-48,3c,12,12
2,16PR009.2,NA,Champaign,L85-2352,4,3,14
2,16PR009.2,NA,Champaign,L85-3059,5,16,16
3,16PR027C.1,NA,Livington,Williams,rps,10,11
3,16PR027C.1,NA,Livington,Harlon,1a,14,15
3,16PR027C.1,NA,Livington,Harosoy 13XX,1b,15,18
3,16PR027C.1,NA,Livington,Williams 79,1c,10,11
3,16PR027C.1,NA,Livington,Williams 82,1k,11,12
3,16PR027C.1,NA,Livington,Harosoy 62XX,6,1,15
3,16PR027C.1,NA,Livington,Harosoy,7,4,17
3,16PR027C.1,NA,Livington,Williams,rps,14,14
3,16PR027C.1,NA,Livington,L76-1988,2,2,14
3,16PR027C.1,NA,Livington,L83-570,3a,9,14
3,16PR027C.1,NA,Livington,PRX-146-36,3b,0,12
3,16PR027C.1,NA,Livington,PRX-145-48,3c,9,12
3,16PR027C.1,NA,Livington,L85-2352,4,15,15
3,16PR027C.1,NA,Livington,L85-3059,5,15,15
4,16PR027C.2,NA,Livington,Williams,rps,8,8
4,16PR027C.2,NA,Livington,Harlon,1a,13,13
4,16PR027C.2,NA,Livington,Harosoy 13XX,1b,13,14
4,16PR027C.2,NA,Livington,Williams 79,1c,14,15
4,16PR027C.2,NA,Livington,Williams 82,1k,15,15
4,16PR027C.2,NA,Livington,Harosoy 62XX,6,2,12
4,16PR027C.2,NA,Livington,Harosoy,7,1,15
4,16PR027C.2,NA,Livington,Williams,rps,15,15
4,16PR027C.2,NA,Livington,L76-1988,2,1,14
4,16PR027C.2,NA,Livington,L83-570,3a,8,13
4,16PR027C.2,NA,Livington,PRX-146-36,3b,1,13
4,16PR027C.2,NA,Livington,PRX-145-48,3c,10,12
4,16PR027C.2,NA,Livington,L85-2352,4,13,14
4,16PR027C.2,NA,Livington,L85-3059,5,12,12
5,17PR009A.1,NA,Franklin,Williams,rps,12,12
5,17PR009A.1,NA,Franklin,Harlon,1a,7,10
5,17PR009A.1,NA,Franklin,Harosoy 13XX,1b,12,13
5,17PR009A.1,NA,Franklin,Williams 79,1c,0,15
5,17PR009A.1,NA,Franklin,Williams 82,1k,0,15
5,17PR009A.1,NA,Franklin,Harosoy 62XX,6,15,15
5,17PR009A.1,NA,Franklin,Harosoy,7,12,12
5,17PR009A.1,NA,Franklin,Williams,rps,16,16
5,17PR009A.1,NA,Franklin,L76-1988,2,5,14
5,17PR009A.1,NA,Franklin,L83-570,3a,8,14
5,17PR009A.1,NA,Franklin,PRX-146-36,3b,6,15
5,17PR009A.1,NA,Franklin,PRX-145-48,3c,10,10
5,17PR009A.1,NA,Franklin,L85-2352,4,15,15
5,17PR009A.1,NA,Franklin,L85-3059,5,13,15
6,17PR009A.2,NA,Franklin,Williams,rps,10,12
6,17PR009A.2,NA,Franklin,Harlon,1a,8,12
6,17PR009A.2,NA,Franklin,Harosoy 13XX,1b,14,14
6,17PR009A.2,NA,Franklin,Williams 79,1c,0,14
6,17PR009A.2,NA,Franklin,Williams 82,1k,0,13
6,17PR009A.2,NA,Franklin,Harosoy 62XX,6,14,14
6,17PR009A.2,NA,Franklin,Harosoy,7,13,14
6,17PR009A.2,NA,Franklin,Williams,rps,16,16
6,17PR009A.2,NA,Franklin,L76-1988,2,5,16
6,17PR009A.2,NA,Franklin,L83-570,3a,6,15
6,17PR009A.2,NA,Franklin,PRX-146-36,3b,11,16
6,17PR009A.2,NA,Franklin,PRX-145-48,3c,12,12
6,17PR009A.2,NA,Franklin,L85-2352,4,15,15
6,17PR009A.2,NA,Franklin,L85-3059,5,15,15
7,17PR013G.3,NA,Crawford,Williams,rps,13,13
7,17PR013G.3,NA,Crawford,Harlon,1a,13,14
7,17PR013G.3,NA,Crawford,Harosoy 13XX,1b,12,12
7,17PR013G.3,NA,Crawford,Williams 79,1c,14,14
7,17PR013G.3,NA,Crawford,Williams 82,1k,16,16
7,17PR013G.3,NA,Crawford,Harosoy 62XX,6,2,10
7,17PR013G.3,NA,Crawford,Harosoy,7,13,13
7,17PR013G.3,NA,Crawford,Williams,rps,14,15
7,17PR013G.3,NA,Crawford,L76-1988,2,9,15
7,17PR013G.3,NA,Crawford,L83-570,3a,14,17
7,17PR013G.3,NA,Crawford,PRX-146-36,3b,16,17
7,17PR013G.3,NA,Crawford,PRX-145-48,3c,11,14
7,17PR013G.3,NA,Crawford,L85-2352,4,7,16
7,17PR013G.3,NA,Crawford,L85-3059,5,12,14
8,17PR018F.1,NA,Boone,Williams,rps,12,12
8,17PR018F.1,NA,Boone,Harlon,1a,10,10
8,17PR018F.1,NA,Boone,Harosoy 13XX,1b,18,18
8,17PR018F.1,NA,Boone,Williams 79,1c,13,13
8,17PR018F.1,NA,Boone,Williams 82,1k,11,11
8,17PR018F.1,NA,Boone,Harosoy 62XX,6,2,10
8,17PR018F.1,NA,Boone,Harosoy,7,14,18
8,17PR018F.1,NA,Boone,Williams,rps,12,12
8,17PR018F.1,NA,Boone,L76-1988,2,2,15
8,17PR018F.1,NA,Boone,L83-570,3a,3,16
8,17PR018F.1,NA,Boone,PRX-146-36,3b,9,15
8,17PR018F.1,NA,Boone,PRX-145-48,3c,1,10
8,17PR018F.1,NA,Boone,L85-2352,4,3,16
8,17PR018F.1,NA,Boone,L85-3059,5,13,14
9,17PR018F.2,NA,Boone,Williams,rps,12,13
9,17PR018F.2,NA,Boone,Harlon,1a,11,15
9,17PR018F.2,NA,Boone,Harosoy 13XX,1b,14,14
9,17PR018F.2,NA,Boone,Williams 79,1c,1,12
9,17PR018F.2,NA,Boone,Williams 82,1k,12,12
