PC_ID,Submit_Date,County,Genus_confirmation,PBNIC,plate_name,morfological_assesment,morfological_date,days_store
201800337,2018-06-15T00:00:00Z,Vermilion,Confirmed,2018-06-22T00:00:00Z,201800337,Phytophthora,2018-07-05T00:00:00Z,7
18PRCFAR2,2018-06-15T00:00:00Z,Champaign,NA,2018-06-15T00:00:00Z,18PRCFAR200_2,Phytophthora,2018-07-11T00:00:00Z,0
201800359,2018-06-15T00:00:00Z,Champaign,Confirmed,2018-06-26T00:00:00Z,201800359_1,Phytophthora?,2018-07-11T00:00:00Z,11
201800359,2018-06-15T00:00:00Z,Champaign,Confirmed,2018-06-26T00:00:00Z,201800359_2,Phytophthora?,2018-07-11T00:00:00Z,11
201800393,2018-06-19T00:00:00Z,Champaign,Confirmed,2018-06-27T00:00:00Z,201800393_1,Phytophthora,2018-07-11T00:00:00Z,8
201800454,2018-06-21T00:00:00Z,Massac,Confirmed,2018-06-28T00:00:00Z,201800454_2,Phytophthora,2018-07-11T00:00:00Z,7
201800454,2018-06-21T00:00:00Z,Massac,Confirmed,2018-06-28T00:00:00Z,201800454_1,Phytophthora,2018-07-11T00:00:00Z,7
201800340,2018-06-15T00:00:00Z,Iroquois,Confirmed,2018-06-22T00:00:00Z,201800340_2a,Pythium spp,2018-07-05T00:00:00Z,7
201800343,2018-06-15T00:00:00Z,Iroquois,Confirmed,2018-06-22T00:00:00Z,201800343_2b,Pythium spp,2018-07-05T00:00:00Z,7
18PRCFAR2,2018-06-15T00:00:00Z,Champaign,NA,2018-06-15T00:00:00Z,18PRCFAR200_7,Pythium spp,2018-07-05T00:00:00Z,NA
18PRCFAR2,2018-06-15T00:00:00Z,Champaign,NA,2018-06-15T00:00:00Z,18PRCFAR200_8,Pythium spp,2018-07-05T00:00:00Z,NA
18PRCFAR2,2018-06-15T00:00:00Z,Champaign,NA,2018-06-15T00:00:00Z,18PRCFAR200_1,Pythium spp,2018-07-05T00:00:00Z,NA
201800366,2018-06-18T00:00:00Z,Livingston,Confirmed,2018-06-26T00:00:00Z,201800366_1,Pythium spp,2018-07-05T00:00:00Z,8
201800421,2018-06-20T00:00:00Z,Edgar,Confirmed,2018-06-26T00:00:00Z,201800421_2,Pythium spp,2018-07-05T00:00:00Z,6
201800334,2018-06-15T00:00:00Z,Livingston,Confirmed,2018-06-27T00:00:00Z,201800334,Pythium spp,2018-07-11T00:00:00Z,12
201800348,NA,NA,NA,2018-06-27T00:00:00Z,201800348,Pythium spp,2018-07-11T00:00:00Z,43278
201800355,2018-06-15T00:00:00Z,Champaign,Confirmed,2018-06-27T00:00:00Z,201800355_1,Pythium spp,2018-07-20T00:00:00Z,12
201800355,2018-06-15T00:00:00Z,Champaign,Confirmed,2018-06-27T00:00:00Z,201800355_2,Pythium spp,2018-07-11T00:00:00Z,12
201800363,2018-06-18T00:00:00Z,Champaign,Confirmed,2018-06-27T00:00:00Z,201800363_1,Pythium spp,2018-07-11T00:00:00Z,9
201800373,2018-06-18T00:00:00Z,Mclean,Confirmed,2018-06-28T00:00:00Z,201800373_4,Pythium spp,2018-07-11T00:00:00Z,10
201800385,2018-06-18T00:00:00Z,Champaign,Confirmed,2018-06-27T00:00:00Z,201800385,Pythium spp,2018-07-11T00:00:00Z,9
201800391,2018-06-19T00:00:00Z,Iroquois,Confirmed,2018-06-28T00:00:00Z,201800391,Pythium spp,2018-07-11T00:00:00Z,9
201800392,2018-06-19T00:00:00Z,Champaign,Confirmed,2018-06-28T00:00:00Z,201800392_3,Pythium spp,2018-07-11T00:00:00Z,9
201800416,2018-06-20T00:00:00Z,Livingston,Confirmed,2018-06-28T00:00:00Z,201800416_2,Pythium spp,2018-07-11T00:00:00Z,8
201800448,2018-06-21T00:00:00Z,Mclean,Confirmed,2018-06-27T00:00:00Z,201800448,Pythium spp,2018-07-11T00:00:00Z,6
201800370,2018-06-18T00:00:00Z,Iroquois,Confirmed,2018-06-28T00:00:00Z,201800370_2,Pythium spp,2018-07-11T00:00:00Z,10
201800443,2018-06-21T00:00:00Z,Jasper,Confirmed,2018-06-27T00:00:00Z,201800443_2,Pythium spp,2018-07-19T00:00:00Z,6
201800444,2018-06-21T00:00:00Z,Hamilton,Confirmed,2018-06-28T00:00:00Z,201800444,Pythium spp,2018-07-19T00:00:00Z,7
201800348,NA,NA,NA,2018-06-27T00:00:00Z,201800348,Pythium spp,2018-07-19T00:00:00Z,43278
201800352,2018-06-15T00:00:00Z,Douglas,Confirmed,2018-06-28T00:00:00Z,201800352,Pythium spp,2018-07-19T00:00:00Z,13
201800361,2018-06-18T00:00:00Z,Champaign,Confirmed,2018-06-28T00:00:00Z,201800361,Pythium spp,2018-07-19T00:00:00Z,10
201800371,2018-06-18T00:00:00Z,Dewitt,Confirmed,2018-06-27T00:00:00Z,201800371_2,Pythium spp,2018-07-19T00:00:00Z,9
201800377,2018-06-18T00:00:00Z,Cumberland,Confirmed,2018-06-26T00:00:00Z,201800377_2,Pythium spp,2018-07-19T00:00:00Z,8
201800392,2018-06-19T00:00:00Z,Champaign,Confirmed,2018-06-28T00:00:00Z,201800392,Pythium spp,2018-07-19T00:00:00Z,9
201800393,2018-06-19T00:00:00Z,Champaign,Confirmed,2018-06-27T00:00:00Z,201800393_2,Pythium spp,2018-07-19T00:00:00Z,8
201800340,2018-06-15T00:00:00Z,Iroquois,Confirmed,2018-06-22T00:00:00Z,201800340,Pythium spp,2018-07-19T00:00:00Z,7
201800338,2018-06-15T00:00:00Z,Iroquois,Confirmed,2018-06-27T00:00:00Z,201800338,Unknown,2018-07-22T00:00:00Z,12
201800339,2018-06-15T00:00:00Z,Champaign,Confirmed,2018-06-22T00:00:00Z,201800339_1,Alternaria,2018-06-21T00:00:00Z,7
201800339,2018-06-15T00:00:00Z,Champaign,Confirmed,2018-06-22T00:00:00Z,201800339_2,n/a,NA,7
201800340,2018-06-15T00:00:00Z,Iroquois,Confirmed,2018-06-22T00:00:00Z,201800340_2b,Alternaria,NA,7
201800343,2018-06-15T00:00:00Z,Iroquois,Confirmed,2018-06-22T00:00:00Z,201800343_2a,n/a,2018-06-21T00:00:00Z,7
201800344,2018-06-15T00:00:00Z,Iroquois,Confirmed,2018-06-22T00:00:00Z,201800344_1,Alternaria,2018-06-21T00:00:00Z,7
201800344,2018-06-15T00:00:00Z,Iroquois,Confirmed,2018-06-22T00:00:00Z,201800344_2,Pythium spp,NA,7
201800344,2018-06-15T00:00:00Z,Iroquois,Confirmed,2018-06-22T00:00:00Z,201800344_3,Alternaria,2018-06-21T00:00:00Z,7
201800350,2018-06-15T00:00:00Z,Mclean,Confirmed,2018-06-22T00:00:00Z,201800350_1,Alternaria,NA,7
201800350,2018-06-15T00:00:00Z,Mclean,Confirmed,2018-06-22T00:00:00Z,201800350_2,Alternaria,NA,7
201800352,2018-06-15T00:00:00Z,Douglas,Confirmed,2018-06-28T00:00:00Z,201800352_2,Unknown,NA,13
201800356,2018-06-15T00:00:00Z,Champaign,Confirmed,2018-06-26T00:00:00Z,201800356_1,Unknown,NA,11
201800356,2018-06-15T00:00:00Z,Champaign,Confirmed,2018-06-26T00:00:00Z,201800356_2,Unknown,NA,11
201800357,2018-06-15T00:00:00Z,Champaign,Confirmed,2018-06-26T00:00:00Z,201800357,Unknown,NA,11
201800357,2018-06-15T00:00:00Z,Champaign,Confirmed,2018-06-26T00:00:00Z,201800357,NA,2018-06-24T00:00:00Z,11
201800358,2018-06-15T00:00:00Z,Champaign,Confirmed,2018-06-28T00:00:00Z,201800358,Unknown,NA,13
201800362,2018-06-18T00:00:00Z,Champaign,Confirmed,2018-06-26T00:00:00Z,201800362,Unknown,NA,8
201800362,2018-06-18T00:00:00Z,Champaign,Confirmed,2018-06-26T00:00:00Z,201800362,NA,2018-06-29T00:00:00Z,8
201800363,2018-06-18T00:00:00Z,Champaign,Confirmed,2018-06-27T00:00:00Z,201800363_2,Unknown,NA,9
201800366,2018-06-18T00:00:00Z,Livingston,Confirmed,2018-06-26T00:00:00Z,201800366_2,Unknown,NA,8
201800366,2018-06-18T00:00:00Z,Livingston,Confirmed,2018-06-26T00:00:00Z,201800366_3,NA,2018-06-29T00:00:00Z,8
201800366,2018-06-18T00:00:00Z,Livingston,Confirmed,2018-06-26T00:00:00Z,201800366_3,Unknown,NA,8
201800366,2018-06-18T00:00:00Z,Livingston,Confirmed,2018-06-26T00:00:00Z,201800366_4,Unknown,NA,8
201800370,2018-06-18T00:00:00Z,Iroquois,Confirmed,2018-06-28T00:00:00Z,201800370_1,Unknown,NA,10
201800371,2018-06-18T00:00:00Z,Dewitt,Confirmed,2018-06-27T00:00:00Z,201800371,NA,NA,9
201800372,2018-06-18T00:00:00Z,Tazewell,Confirmed,2018-06-26T00:00:00Z,201800372_1,Unknown,NA,8
201800372,2018-06-18T00:00:00Z,Tazewell,Confirmed,2018-06-26T00:00:00Z,201800372_2,Unknown,NA,8
201800373,2018-06-18T00:00:00Z,Mclean,Confirmed,2018-06-28T00:00:00Z,201800373_1,Unknown,NA,10
201800373,2018-06-18T00:00:00Z,Mclean,Confirmed,2018-06-28T00:00:00Z,201800373_2,Unknown,NA,10
201800373,2018-06-18T00:00:00Z,Mclean,Confirmed,2018-06-28T00:00:00Z,201800373_2,Unknown,NA,10
201800373,2018-06-18T00:00:00Z,Mclean,Confirmed,2018-06-28T00:00:00Z,201800373_3,Fusarium,NA,10
201800377,2018-06-18T00:00:00Z,Cumberland,Confirmed,2018-06-26T00:00:00Z,201800377,Unknown,NA,8
201800377,2018-06-18T00:00:00Z,Cumberland,Confirmed,2018-06-26T00:00:00Z,201800377_1,Fusarium,NA,8
201800377,2018-06-18T00:00:00Z,Cumberland,Confirmed,2018-06-26T00:00:00Z,201800377_1,Unknown,NA,8
201800377,2018-06-18T00:00:00Z,Cumberland,Confirmed,2018-06-26T00:00:00Z,201800377_2,Unknown,NA,8
201800378,2018-06-18T00:00:00Z,Cumberland,Confirmed,2018-06-26T00:00:00Z,201800378_1,Rizopus,NA,8
201800378,2018-06-18T00:00:00Z,Cumberland,Confirmed,2018-06-26T00:00:00Z,201800378_2,Rizopus,NA,8
201800378,2018-06-18T00:00:00Z,Cumberland,Confirmed,2018-06-26T00:00:00Z,201800378_3,Rizopus,NA,8
201800378,2018-06-18T00:00:00Z,Cumberland,Confirmed,2018-06-26T00:00:00Z,201800378_4,Rizopus,NA,8
201800382,2018-06-18T00:00:00Z,Dewitt,Confirmed,2018-06-28T00:00:00Z,201800382,Unknown,NA,10
201800382,2018-06-18T00:00:00Z,Dewitt,Confirmed,2018-06-28T00:00:00Z,201800382_1,Unknown,NA,10
201800383,2018-06-18T00:00:00Z,Champaign,Confirmed,2018-06-27T00:00:00Z,201800383,Unknown,NA,9
201800384,2018-06-18T00:00:00Z,Champaign,Confirmed,2018-06-27T00:00:00Z,201800384,Unknown,NA,9
201800389,2018-06-19T00:00:00Z,Vermilion,Confirmed,2018-06-26T00:00:00Z,201800389_1,NA,2018-06-29T00:00:00Z,7
201800389,2018-06-19T00:00:00Z,Vermilion,Confirmed,2018-06-26T00:00:00Z,201800389_1,Fusarium,NA,7
201800389,2018-06-19T00:00:00Z,Vermilion,Confirmed,2018-06-26T00:00:00Z,201800389_1,Unknown,NA,7
