county,lat ,long,isolates,genus
Boone,42.40733,-88.83199,4,Phytophthora spp.
Champaign,40.0711,-88.2228,6,Phytophthora spp.
Champaign,38.969,-89.69,73,Pythium spp.
Clark,39.34646,-87.68825,3,Pythium spp.
Crawford,39.00856,-87.68109,1,Phytophthora spp.
Crawford,39.00856,-87.68109,8,Pythium spp.
Cumberland,39.272222,-88.242778,1,Pythium spp.
DeKalb,41.8436,-88.86673,3,Pythium spp.
Dewitt,40.152222,-88.959167,1,Pythium spp.
Douglas,39.72464,-88.22619,1,Pythium spp.
Edgar,39.57243,-87.69001,4,Pythium spp.
Franklin,37.97602,-89.13943,2,Phytophthora spp.
Franklin,37.97602,-89.13943,3,Pythium spp.
Fulton,40.47335,-90.03763,2,Pythium spp.
Grundy,41.28569,-88.56079,2,Phytophthora spp.
Hamilton,38.093056,-88.536111,1,Pythium spp.
Iroquois,40.776111,-87.736389,5,Pythium spp.
Jackson,37.870022,-89.23246,6,Pythium spp.
Jasper,38.988056,-88.164444,1,Pythium spp.
Jefferson,38.3136,-88.9081,5,Phytophthora spp.
Kane,42.10943,-88.53916,1,Pythium spp.
Kankakee,41.01379,-88.17191,1,Phytophthora spp.
Kankakee,41.02855,-88.12629,9,Pythium spp.
Kendall,41.5727,-88.49739,1,Pythium spp.
Knox,40.952222,-90.368611,5,Phytophthora spp.
Livingston,41.09864,-88.55928,2,Phytophthora spp.
Livingston,41.09864,-88.55928,3,Pythium spp.
Macon,40.00159,-88.76948,1,Phytophthora spp.
Macon,38.75839,-88.921872,3,Pythium spp.
Marion,38.75839,-88.921872,2,Pythium spp.
Massac,37.153333,-88.725278,2,Phytophthora spp.
McHenry,42.28392,-88.64142,9,Pythium spp.
Mclean,40.484167,-88.993611,2,Pythium spp.
Pike,39.818972,-90.828839,4,Pythium spp.
Vermilion,40.124444,-87.631389,1,Phytophthora spp.
Will,41.2993,-88.15506,1,Pythium spp.
Woodford,40.70528,-89.23396,1,Pythium spp.
