ID,plant_samples,isolates,species
"illinois,adams",,,
"illinois,alexander",,,
"illinois,bond",,,
"illinois,boone",,4,Phytophthora 
"illinois,brown",,,
"illinois,bureau",,,
"illinois,calhoun",,,
"illinois,carroll",,,
"illinois,cass",,,
"illinois,champaign",2,79,Phytophthora 
"illinois,christian",,,
"illinois,clark",1,3,
"illinois,clay",1,,
"illinois,clinton",1,,
"illinois,coles",3,,
"illinois,cook",,,
"illinois,crawford",,9,Phytophthora 
"illinois,cumberland",1,1,
"illinois,de kalb",,3,
"illinois,de witt",3,1,
"illinois,douglas",3,1,
"illinois,du page",,,
"illinois,edgar",3,4,
"illinois,edwards",,,
"illinois,effingham",1,,
"illinois,fayette",2,,
"illinois,ford",1,,
"illinois,franklin",,5,Phytophthora 
"illinois,fulton",,2,
"illinois,gallatin",,,
"illinois,greene",,,
"illinois,grundy",,2,Phytophthora 
"illinois,hamilton",1,1,
"illinois,hancock",1,,
"illinois,hardin",,,
"illinois,henderson",,,
"illinois,henry",,,
"illinois,iroquois",3,5,
"illinois,jackson",,6,
"illinois,jasper",6,1,
"illinois,jefferson",,5,Phytophthora 
"illinois,jersey",,,
"illinois,jo daviess",,,
"illinois,johnson",,,
"illinois,kane",,1,
"illinois,kankakee",,10,Phytophthora 
"illinois,kendall",,1,
"illinois,knox",1,,Phytophthora 
"illinois,lake",,,
"illinois,la salle",,,
"illinois,lawrence",,,
"illinois,lee",5,5,Phytophthora 
"illinois,livingston",,,
"illinois,logan",,,
"illinois,mcdonough",,,
"illinois,mchenry",,9,
"illinois,mclean",6,2,
"illinois,macon",,4,Phytophthora 
"illinois,macoupin",,,
"illinois,madison",,,
"illinois,marion",,2,
"illinois,marshall",,,
"illinois,mason",,,
"illinois,massac",1,2,Phytophthora 
"illinois,menard",,,
"illinois,mercer",,,
"illinois,monroe",,,
"illinois,montgomery",,,
"illinois,morgan",,,
"illinois,moultrie",,,
"illinois,ogle",,,
"illinois,peoria",,,
"illinois,perry",,,
"illinois,piatt",,,
"illinois,pike",,4,
"illinois,pope",,,
"illinois,pulaski",,,
"illinois,putnam",,,
"illinois,randolph",,,
"illinois,richland",1,,
"illinois,rock island",,,
"illinois,st clair",,,
"illinois,saline",,,
"illinois,sangamon",3,,
"illinois,schuyler",,,
"illinois,scott",,,
"illinois,shelby",,,
"illinois,stark",,,
"illinois,stephenson",,,
"illinois,tazewell",1,,
"illinois,union",,,
"illinois,vermilion",4,1,Phytophthora 
"illinois,wabash",,,
"illinois,warren",,,
"illinois,washington",,,
"illinois,wayne",1,,
"illinois,white",,,
"illinois,whiteside",,,
"illinois,will",,1,
"illinois,williamson",,,
"illinois,winnebago",,,
"illinois,woodford",,1,
