isolate,species,estimate,std.error,df,statistic,p.value,agg_component
Control Agar,Control Agar,33.95000000000276,3.171578156616309,5.986924084323676,10.704450063505076,3.9804598181990005e-5,Root weight
Control None,Control None,28.306349206351342,3.1715781566163255,5.9869240843241,8.925004464197299,1.1171235969719781e-4,Root weight
16PR018B.1,Phytophthora sansomeana,29.245634920637055,3.1715781566163255,5.986924084324098,9.221161666669587,9.295403957511972e-5,Root weight
16PR024C.1,Phytophthora sansomeana,29.845767195769326,3.171578156616324,5.986924084324096,9.410383639295528,8.287825386981279e-5,Root weight
16PR024C.2,Phytophthora sansomeana,32.01621693121907,3.1715781566163286,5.986924084324102,10.09472740390428,5.564206113654892e-5,Root weight
17PR006L.1,Phytophthora sansomeana,32.566111111113244,3.171578156616326,5.986924084324102,10.268109282811173,5.0494350652245265e-5,Root weight
18PR003,Phytophthora sansomeana,29.811335978838112,3.1715781566163224,5.986924084324083,9.399527461320103,8.34209569954117e-5,Root weight
18PR004,Phytophthora sansomeana,29.003703703705835,3.1715781566163286,5.986924084324102,9.144880646627074,9.7411890648154e-5,Root weight
18PR005,Phytophthora sansomeana,30.887548500883984,3.1715781566163304,5.986924084324154,9.738857747033125,6.823782092305976e-5,Root weight
16PR009.1,Phytophthora sojae,12.154060846563056,3.1715781566163734,5.986924084323963,3.8321807776383867,0.008673202225401485,Root weight
16PR009.2,Phytophthora sojae,12.770582010584144,3.1715781566163264,5.986924084324093,4.02657017420272,0.006938381875323204,Root weight
16PR027C.1,Phytophthora sojae,22.095410052912186,3.171578156616328,5.986924084324109,6.966692593344503,4.387306628977727e-4,Root weight
16PR027C.2,Phytophthora sojae,20.259126984129118,3.1715781566163246,5.9869240843241,6.387711727004407,6.987087404347774e-4,Root weight
17PR009A.1,Phytophthora sojae,15.727208994711125,3.171578156616326,5.9869240843240945,4.9587959741436975,0.0025712230626894618,Root weight
17PR009A.2,Phytophthora sojae,15.601278659614128,3.171578156616324,5.986924084324083,4.919090083612738,0.0026755859213671244,Root weight
17PR013G.3,Phytophthora sojae,24.964814814816943,3.1715781566163264,5.9869240843241,7.871417187918601,2.2500426369269854e-4,Root weight
17PR018F.1,Phytophthora sojae,15.076058201060333,3.1715781566163255,5.986924084324088,4.753487839992122,0.0031658190844594597,Root weight
17PR018F.2,Phytophthora sojae,17.480048500883967,3.1715781566163272,5.986924084324104,5.511467048169157,0.0015095445569451261,Root weight
17PR018H.1,Phytophthora sojae,16.75403439153652,3.171578156616327,5.986924084324096,5.282554477361819,0.001873292753211428,Root weight
17PR018J.3,Phytophthora sojae,17.9271957671979,3.171578156616326,5.986924084324103,5.652452779635725,0.001325789021891479,Root weight
18PR001,Phytophthora sojae,20.868015873018003,3.1715781566163246,5.986924084324103,6.579694663833084,5.966631135212663e-4,Root weight
18PR006,Phytophthora sojae,15.893209876545342,3.1715781566163255,5.9869240843241025,5.011136125840076,0.002440631257398784,Root weight
18PR007,Phytophthora sojae,14.329576719578851,3.171578156616326,5.986924084324091,4.518121897669614,0.004047436008585663,Root weight
18PR008,Phytophthora sojae,13.261005291007423,3.171578156616326,5.986924084324101,4.181200852119389,0.00583366645597025,Root weight
18PR009,Phytophthora sojae,10.868796296298427,3.171578156616327,5.986924084324105,3.4269362946723216,0.014071893594246349,Root weight
18PR010,Phytophthora sojae,9.661706349208483,3.1715781566163264,5.986924084324102,3.0463402987729946,0.022680165838163294,Root weight
18PR011,Phytophthora sojae,13.700648148150282,3.171578156616328,5.986924084324102,4.31982044004463,0.005008933890279765,Root weight
18PR012,Phytophthora sojae,13.934700176368976,3.1715781566163246,5.986924084324091,4.393617148390109,0.004623886793997792,Root weight
18PR013,Phytophthora sojae,14.155343915346052,3.1715781566163246,5.986924084324096,4.463186217188488,0.004291165334729655,Root weight
18PR014,Phytophthora sojae,16.179320987656453,3.171578156616326,5.986924084324097,5.101347086119974,0.0022328220234789325,Root weight
