isolate,species,estimate,std.error,df,conf.low,conf.high,measurement
Control Agar,Control Agar,33.95000000000276,3.171578156616309,5.986924084323676,26.185317317159267,41.71468268284625,Root dry weigth
Control None,Control None,28.306349206351342,3.1715781566163255,5.9869240843241,20.541666523507942,36.07103188919474,Root dry weigth
16PR018B.1,Phytophthora sansomeana,29.245634920637055,3.1715781566163255,5.986924084324098,21.480952237793655,37.01031760348045,Root dry weigth
16PR024C.1,Phytophthora sansomeana,29.845767195769326,3.171578156616324,5.986924084324096,22.08108451292593,37.61044987861273,Root dry weigth
16PR024C.2,Phytophthora sansomeana,32.01621693121907,3.1715781566163286,5.986924084324102,24.251534248375663,39.78089961406248,Root dry weigth
17PR006L.1,Phytophthora sansomeana,32.566111111113244,3.171578156616326,5.986924084324102,24.801428428269844,40.330793793956644,Root dry weigth
18PR003,Phytophthora sansomeana,29.811335978838112,3.1715781566163224,5.986924084324083,22.046653295994716,37.57601866168151,Root dry weigth
18PR004,Phytophthora sansomeana,29.003703703705835,3.1715781566163286,5.986924084324102,21.23902102086243,36.76838638654924,Root dry weigth
18PR005,Phytophthora sansomeana,30.887548500883984,3.1715781566163304,5.986924084324154,23.12286581804059,38.65223118372737,Root dry weigth
16PR009.1,Phytophthora sojae,12.154060846563056,3.1715781566163734,5.986924084323963,4.389378163719496,19.918743529406616,Root dry weigth
16PR009.2,Phytophthora sojae,12.770582010584144,3.1715781566163264,5.986924084324093,5.0058993277407415,20.535264693427546,Root dry weigth
16PR027C.1,Phytophthora sojae,22.095410052912186,3.171578156616328,5.986924084324109,14.330727370068786,29.860092735755586,Root dry weigth
16PR027C.2,Phytophthora sojae,20.259126984129118,3.1715781566163246,5.9869240843241,12.494444301285721,28.023809666972515,Root dry weigth
17PR009A.1,Phytophthora sojae,15.727208994711125,3.171578156616326,5.9869240843240945,7.962526311867723,23.491891677554527,Root dry weigth
17PR009A.2,Phytophthora sojae,15.601278659614128,3.171578156616324,5.986924084324083,7.836595976770727,23.365961342457528,Root dry weigth
17PR013G.3,Phytophthora sojae,24.964814814816943,3.1715781566163264,5.9869240843241,17.20013213197354,32.72949749766035,Root dry weigth
