isolate,estimate,std.error,df,conf.low,conf.high,agg_parameter,species
16PR018B.1,29.2456349206332,4.8718595924868175,2.4567850042788093,11.609279538018313,46.88199030324809,Root dry weigth,Phytophthora sansomeana
16PR024C.1,29.8457671957656,4.871859592486815,2.4567850042788066,12.209411813150705,47.4821225783805,Root dry weigth,Phytophthora sansomeana
16PR024C.2,32.01621693121534,4.871859592486816,2.4567850042788093,14.37986154860046,49.65257231383022,Root dry weigth,Phytophthora sansomeana
17PR006L.1,32.566111111109514,4.871859592486816,2.456785004278809,14.92975572849463,50.2024664937244,Root dry weigth,Phytophthora sansomeana
18PR003,29.811335978834386,4.871859592486816,2.4567850042788066,12.174980596219488,47.44769136144929,Root dry weigth,Phytophthora sansomeana
18PR004,29.003703703702108,4.871859592486817,2.4567850042788093,11.367348321087224,46.640059086316995,Root dry weigth,Phytophthora sansomeana
18PR005,30.887548500880243,4.871859592486816,2.4567850042788066,13.251193118265345,48.52390388349514,Root dry weigth,Phytophthora sansomeana
Control Agar,33.94999999999841,4.871859592486816,2.4567850042788084,16.31364461738352,51.586355382613306,Root dry weigth,Control Agar sansomeana
Control None,28.306349206347615,4.871859592486816,2.4567850042788066,10.669993823732717,45.94270458896251,Root dry weigth,Control None sansomena
16PR018B.1,70.77208994708798,8.678148158479324,3.345983294209974,44.70167586919494,96.84250402498101,Shoot dry weigth,Phytophthora sansomeana
16PR024C.1,72.38333333333163,8.678148158479347,3.345983294209945,46.312919255438416,98.45374741122485,Shoot dry weigth,Phytophthora sansomeana
16PR024C.2,73.45011904761735,8.678148158479349,3.3459832942099466,47.37970496972413,99.52053312551057,Shoot dry weigth,Phytophthora sansomeana
17PR006L.1,68.7212962962946,8.678148158479347,3.3459832942099452,42.65088221840138,94.79171037418782,Shoot dry weigth,Phytophthora sansomeana
18PR003,77.63013227513056,8.678148158479347,3.345983294209945,51.559718197237345,103.70054635302378,Shoot dry weigth,Phytophthora sansomeana
18PR004,67.34087301587132,8.678148158479345,3.345983294209945,41.270458937978105,93.41128709376454,Shoot dry weigth,Phytophthora sansomeana
18PR005,66.25944003527167,8.678148158479349,3.3459832942099466,40.18902595737845,92.32985411316488,Shoot dry weigth,Phytophthora sansomeana
Control Agar,83.45670634920464,8.67814815847935,3.345983294209946,57.38629227131141,109.52712042709786,Shoot dry weigth,Control Agar sansomeana
Control None,61.04179894179724,8.678148158479349,3.345983294209945,34.97138486390401,87.11221301969047,Shoot dry weigth,Control None sansomena
16PR018B.1,28.378216596348746,6.3102974426338,2.6550347299945427,13.236666644358241,60.84033078921193,Root length,Phytophthora sansomeana
16PR024C.1,30.24323944924428,6.725011626632029,2.6550347299945516,14.10658338856499,64.83877117444024,Root length,Phytophthora sansomeana
16PR024C.2,30.18126059011025,6.776385668252216,2.758766490240423,14.23933832912224,63.97126536035424,Root length,Phytophthora sansomeana
17PR006L.1,34.09547212600682,7.581609994118328,2.6550347299945534,15.90340947189859,73.09760976408572,Root length,Phytophthora sansomeana
18PR003,33.808117450429826,7.517712621700089,2.6550347299945516,15.769376452720074,72.48154731856263,Root length,Phytophthora sansomeana
18PR004,32.34216244867369,7.261331754557149,2.7584693490024006,15.258417858134191,68.55333767771816,Root length,Phytophthora sansomeana
18PR005,27.32951555823756,6.216731017210748,2.9044855833080234,13.070925761992648,57.142273948167905,Root length,Phytophthora sansomeana
Control Agar,33.40113254511479,7.597860864408723,2.9044855833080225,15.974806539594095,69.83719349158851,Root length,Control Agar sansomeana
Control None,24.960193011144693,5.550251602002975,2.655034729994555,11.642371998452965,53.51239723626611,Root length,Control None sansomena
16PR018B.1,0.5563526356367213,0.0831411926240638,4.49465268014494,0.37386459105195885,0.8279154073109558,Root area,Phytophthora sansomeana
16PR024C.1,0.5651164800185454,0.08445085924053024,4.494652680144924,0.3797538254798749,0.8409569951928645,Root area,Phytophthora sansomeana
16PR024C.2,0.607352908383907,0.0929835989795512,4.934641515863634,0.4091124229525938,0.9016532733476403,Root area,Phytophthora sansomeana
17PR006L.1,0.6639482290877243,0.09922025001968915,4.494652680144931,0.4461679827641504,0.9880297733998356,Root area,Phytophthora sansomeana
18PR003,0.6345103255572141,0.09482105740136407,4.494652680144929,0.4263859433526437,0.9442228561126547,Root area,Phytophthora sansomeana
18PR004,0.6321435701367499,0.09677096955815158,4.9337177691278855,0.4258156625744172,0.9384471460004116,Root area,Phytophthora sansomeana
18PR005,0.5829751320325579,0.09212697642641547,5.561486068619976,0.393054845623246,0.8646630574658877,Root area,Phytophthora sansomeana
Control Agar,0.7280078573848959,0.11504635280360102,5.56148606861998,0.49083914608719487,1.07977418801881,Root area,Control Agar sansomeana
Control None,0.5366420081917579,0.08019564160448898,4.4946526801449265,0.3606192045882905,0.7985837728328063,Root area,Control None sansomena
