isolate,fungicide,species,isolate_id,EC50,std_error,lower,upper,county
1,azoxystrobin,Phytophthora sojae,16PR009.1,2.094615133523697,1.5701640470851976,-1.1120876517128817,5.301317918760276,Champaign
2,azoxystrobin,Phytophthora sansomeana,16PR018B.1,1.6449465055209427,1.2253874990667433,-0.8510861499872908,4.140979161029176,Kankakee
3,azoxystrobin,Phytophthora sansomeana,16PR024C.1,1.3724995546542047,0.4649767495801951,0.4241732216237014,2.320825887684708,Grundy
4,azoxystrobin,Phytophthora sansomeana,16PR024C.2,1.167002708292878,0.7373362818089948,-0.33490214946675745,2.6689075660525132,Grundy
5,azoxystrobin,Phytophthora sojae,16PR027C.1,0.5977304768390553,1.3006159305398814,-2.0515374791130165,3.246998432791127,Livingston
6,azoxystrobin,Phytophthora sansomeana,17PR006L.1,1.4645664796933406,0.5835393412271348,0.27593573832704776,2.6531972210596333,Macon
7,azoxystrobin,Phytophthora sojae,17PR009A.1,0.6943989301826003,1.6281082831446212,-2.6219491185182586,4.010746978883459,Franklin
8,azoxystrobin,Phytophthora sojae,17PR013G.3,1.6419735909185722,1.1802478175177071,-0.7621125421292587,4.046059723966403,Crawford
9,azoxystrobin,Phytophthora sojae,17PR018H.1,1.3958384808086102,1.1234541114783279,-0.8925626587089379,3.6842396203261583,Boone
10,azoxystrobin,Phytophthora sojae,18PR001,1.6760248158816318,1.1198402979010222,-0.6050152262632535,3.9570648580265173,Vermilion
11,azoxystrobin,Phytophthora sansomeana,18PR003,1.8377890966391117,1.2602030087500669,-0.7324118848958601,4.407990078174084,Champaign
12,azoxystrobin,Phytophthora sansomeana,18PR004,2.272786556706527,1.8494327505760664,-1.494384679428992,6.039957792842046,Champaign
13,azoxystrobin,Phytophthora sansomeana,18PR005,3.4340336503438453,36.78989842340202,-71.50453715079395,78.37260445148165,Champaign
14,azoxystrobin,Phytophthora sojae,18PR006,1.015028689706292,1.1684507809103086,-1.3680423894126663,3.39809976882525,Massac
15,azoxystrobin,Phytophthora sojae,18PR011,0.7795802710823132,0.7494592697508131,-0.7470183050383767,2.306178847203003,Knox
16,azoxystrobin,Phytophthora sojae,18PR013,0.9482861818388493,0.7520901070950055,-0.5836712345894461,2.480243598267145,Jefferson
1,ethaboxam,Phytophthora sojae,16PR009.1,0.009224714394679957,0.0014434423274062845,0.006284518588624444,0.012164910200735471,Champaign
2,ethaboxam,Phytophthora sansomeana,16PR018B.1,0.020648305576838128,0.0010197507124756944,0.018571141348579193,0.022725469805097064,Kankakee
3,ethaboxam,Phytophthora sansomeana,16PR024C.1,0.026471913919006048,0.0013007883594636947,0.023822294736829685,0.02912153310118241,Grundy
