fungicide,experiment,isolate,rep,dose,length_a,length_b,length.mm,control.mean,rel.growth
azoxystrobin,1,1,1,0,29.37,26.84,24.105,23.2975,103.46603712844727
azoxystrobin,1,1,2,0,26.1,26.88,22.490000000000002,23.2975,96.53396287155275
azoxystrobin,1,1,1,0.1,27.07,25.62,22.345,23.2975,95.91157849554673
azoxystrobin,1,1,2,0.1,24.73,25.98,21.355,23.2975,91.66219551454019
azoxystrobin,1,1,3,0.1,20.21,19.84,16.025,23.2975,68.78420431376757
azoxystrobin,1,1,1,0.5,23.69,23.7,19.695,23.2975,84.53696748578174
azoxystrobin,1,1,2,0.5,21.66,20.61,17.134999999999998,23.2975,73.5486640197446
azoxystrobin,1,1,3,0.5,17.15,14.91,12.030000000000001,23.2975,51.63644167829167
azoxystrobin,1,1,1,0.1,18.61,18.88,14.744999999999997,23.2975,63.290052580749
azoxystrobin,1,1,2,0.1,19.08,18.14,14.61,23.2975,62.7105912651572
azoxystrobin,1,1,3,0.1,17.6,16.4,13,23.2975,55.799978538469794
azoxystrobin,1,1,1,1,20.62,21.79,17.205,23.2975,73.84912544264407
azoxystrobin,1,1,2,1,17.88,17.34,13.61,23.2975,58.418285223736454
azoxystrobin,1,1,3,1,22.2,19.53,16.865000000000002,23.2975,72.389741388561
azoxystrobin,1,1,1,10,0,0,0,23.2975,0
azoxystrobin,1,1,2,10,0,0,0,23.2975,0
azoxystrobin,1,1,3,10,0,0,0,23.2975,0
azoxystrobin,1,2,1,0,34.46,32.29,29.375,32.38166666666667,90.71491070049925
azoxystrobin,1,2,2,0,39.96,38.45,35.205,32.38166666666667,108.71892531782386
azoxystrobin,1,2,3,0,36.58,36.55,32.565,32.38166666666667,100.56616398167687
azoxystrobin,1,2,1,0.1,29.35,29,25.175,32.38166666666667,77.74460857481085
azoxystrobin,1,2,2,0.1,35.95,37.76,32.855000000000004,32.38166666666667,101.46173246178394
azoxystrobin,1,2,3,0.1,32.19,33.55,28.869999999999997,32.38166666666667,89.15538627824385
azoxystrobin,1,2,1,0.5,27.69,28.99,24.34,32.38166666666667,75.16598898553708
azoxystrobin,1,2,2,0.5,28.57,29.47,25.02,32.38166666666667,77.26594266302949
azoxystrobin,1,2,3,0.5,28.88,29.8,25.34,32.38166666666667,78.25415615832003
azoxystrobin,1,2,1,0.1,19.44,20.07,15.755000000000003,32.38166666666667,48.65407380719544
azoxystrobin,1,2,2,0.1,24.42,23.93,20.175,32.38166666666667,62.30377271089609
azoxystrobin,1,2,3,0.1,19.61,19.54,15.575,32.38166666666667,48.098203716094496
azoxystrobin,1,2,1,1,19.63,19.77,15.7,32.38166666666667,48.48422461269236
azoxystrobin,1,2,2,1,21.14,23.43,18.285,32.38166666666667,56.4671367543363
azoxystrobin,1,2,3,1,23.24,23.02,19.13,32.38166666666667,59.07663801533789
azoxystrobin,1,2,1,10,0,0,0,32.38166666666667,0
azoxystrobin,1,2,2,10,0,0,0,32.38166666666667,0
azoxystrobin,1,2,3,10,0,0,0,32.38166666666667,0
azoxystrobin,1,3,1,0,38.69,39.27,34.980000000000004,38.620000000000005,90.57483169342309
azoxystrobin,1,3,2,0,44.39,45.67,41.03,38.620000000000005,106.24029000517865
azoxystrobin,1,3,3,0,45.53,42.17,39.85,38.620000000000005,103.18487830139824
azoxystrobin,1,3,1,0.1,39.37,38.02,34.695,38.620000000000005,89.83687208700154
azoxystrobin,1,3,2,0.1,40.47,41.28,36.875,38.620000000000005,95.48161574313826
azoxystrobin,1,3,3,0.1,40.38,39.31,35.845,38.620000000000005,92.81460383221128
azoxystrobin,1,3,1,0.5,30.59,31.96,27.275,38.620000000000005,70.62402900051785
azoxystrobin,1,3,2,0.5,33.11,36.59,30.85,38.620000000000005,79.8808907301916
azoxystrobin,1,3,3,0.5,36.01,36.47,32.239999999999995,38.620000000000005,83.48006214396683
azoxystrobin,1,3,1,0.1,26.44,26.14,22.29,38.620000000000005,57.71620921802174
azoxystrobin,1,3,2,0.1,30.93,29.95,26.439999999999998,38.620000000000005,68.46193682030035
azoxystrobin,1,3,3,0.1,29.75,30.81,26.28,38.620000000000005,68.04764370792336
azoxystrobin,1,3,1,1,27.39,26.3,22.845,38.620000000000005,59.15328845157948
azoxystrobin,1,3,2,1,31.77,27.28,25.525,38.620000000000005,66.09269808389435
azoxystrobin,1,3,3,1,25.6,27.34,22.47,38.620000000000005,58.18228896944587
azoxystrobin,1,3,1,10,0,0,0,38.620000000000005,0
azoxystrobin,1,3,2,10,0,0,0,38.620000000000005,0
azoxystrobin,1,3,3,10,0,0,0,38.620000000000005,0
azoxystrobin,1,4,1,0,39.88,41.28,36.58,37.72833333333333,96.95631046516765
azoxystrobin,1,4,2,0,43.82,40.42,38.120000000000005,37.72833333333333,101.03812342624907
azoxystrobin,1,4,3,0,42.48,42.49,38.485,37.72833333333333,102.0055661085833
azoxystrobin,1,4,1,0.1,32.54,35.29,29.915,37.72833333333333,79.2905420329549
